Time elapsed was ,59139762,ns,or,0.059139762,s
Time elapsed was ,46273614,ns,or,0.046273614,s
Time elapsed was ,45673866,ns,or,0.045673866,s
Time elapsed was ,46494933,ns,or,0.046494933,s
Time elapsed was,47956127,ns,or,0.047956127,s
Time elapsed was ,45771185,ns,or,0.045771185,s
Time elapsed was ,46524800,ns,or,0.0465248,s
Time elapsed was ,46331337,ns,or,0.046331337,s
Time elapsed was,45479036,ns,or,0.045479036,s
Time elapsed was ,46122656,ns,or,0.046122656,s
,,,,,
Average Time,47576731.6,ns,or,0.0475767316,s
