Time elapsed was ,309220240056,ns,or,309.220240056,s
Time elapsed was ,271000090855,ns,or,271.000090855,s
Time elapsed was ,271638107922,ns,or,271.638107922,s
Time elapsed was ,271977990001,ns,or,271.977990001,s
Time elapsed was,271109653822,ns,or,271.109653822,s
Time elapsed was ,271713077472,ns,or,271.713077472,s
Time elapsed was ,272219540821,ns,or,272.219540821,s
Time elapsed was ,270837928244,ns,or,270.837928244,s
Time elapsed was ,270666304274,ns,or,270.666304274,s
Time elapsed was ,270876752439,ns,or,270.876752439,s
,,,,,
Average,275125968590.6,ns,or,275.1259685906,s
