Time elapsed was 34200ns or 0.000034200s,33964,ns,or,3.3964E-05,s
Time elapsed was 80134ns or 0.000080134s,338667,ns,or,0.000338667,s
Time elapsed was 80704ns or 0.000080704s,40656,ns,or,4.0656E-05,s
Time elapsed was 166304ns or 0.000166304s,98913,ns,or,9.8913E-05,s
Time elapsed was 41367ns or 0.000041367s,34973,ns,or,3.4973E-05,s
Time elapsed was 79051ns or 0.000079051s,45865,ns,or,4.5865E-05,s
Time elapsed was 81210ns or 0.000081210s,35911,ns,or,3.5911E-05,s
Time elapsed was 33612ns or 0.000033612s,40496,ns,or,4.0496E-05,s
Time elapsed was 34738ns or 0.000034738s,43594,ns,or,4.3594E-05,s
Time elapsed was 85914ns or 0.000085914s,36758,ns,or,3.6758E-05,s
,,,,,
Average / Mean Time,74979.7,ns,or,7.49797E-05,s
